Qubit,T1 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,504.35,4.656,-0.31111,0.0041,0.0068,0.0014,1244.444,7.305e-05,7.305e-05,7.305e-05
1,440.57,4.535,0.0,0.0012,0.0012,0.0012,1244.444,0.000119,0.000119,0.000119
2,338.57,4.68,-0.31073,0.0095,0.0154,0.0036,1244.444,0.0004005,0.0004005,0.0004005
3,440.19,4.607,0.0,0.0082,0.0088,0.0076,1244.444,0.0001025,0.0001025,0.0001025
4,487.01,4.462,-0.32295,0.0077,0.0114,0.004,1244.444,0.0003971,0.0003971,0.0003971
5,376.2,4.427,0.0,0.0064,0.006,0.0068,1244.444,0.0001531,0.0001531,0.0001531
6,304.22,4.64,-0.31059,0.0027,0.0012,0.0042,1244.444,0.0001007,0.0001007,0.0001007
7,525.96,4.476,0.0,0.0058,0.0056,0.006,1244.444,0.0001194,0.0001194,0.0001194
8,579.96,4.402,-0.31475,0.0018,0.002,0.0016,1244.444,0.0004724,0.0004724,0.0004724
9,442.81,4.519,0.0,0.0041,0.004,0.0042,1244.444,0.0001246,0.0001246,0.0001246
10,266.25,4.628,-0.31213,0.0023,0.0038,0.0008,1244.444,0.0001368,0.0001368,0.0001368
11,270.54,4.572,0.0,0.0153,0.016,0.0146,1244.444,0.0004586,0.0004586,0.0004586
12,215.66,4.464,-0.31549,0.0028,0.0044,0.0012,1244.444,0.0001609,0.0001609,0.0001609
13,329.66,4.573,0.0,0.0037,0.0054,0.002,1244.444,0.0001792,0.0001792,0.0001792
14,205.45,4.604,0.0,0.0311,0.0314,0.0308,1244.444,0.0015,0.0015,0.0015
15,279.56,4.497,0.0,0.0181,0.0166,0.0196,1244.444,0.0008853,0.0008853,0.0008853
16,445.63,4.513,0.0,0.01,0.0094,0.0106,1244.444,0.0001878,0.0001878,0.0001878
17,265.23,4.676,0.0,0.008,0.012,0.004,1244.444,0.0005796,0.0005796,0.0005796
18,262.48,4.515,-0.31437,0.0016,0.0014,0.0018,1244.444,0.0001363,0.0001363,0.0001363
19,475.7,4.444,0.0,0.0396,0.0194,0.0598,1244.444,0.0001115,0.0001115,0.0001115
20,560.02,4.341,-0.31506,0.0253,0.0244,0.0262,1244.444,0.0002444,0.0002444,0.0002444
