Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,396.24,224.91,4.636,-0.31328,0.0054,0.007,0.0038,1244.444,0.0001316,0.0001316,0.0001316
1,353.38,325.06,4.736,-0.31292,0.0231,0.0274,0.0188,1244.444,0.0004419,0.0004419,0.0004419
2,258.46,179.43,4.819,-0.3113,0.035,0.0346,0.0354,1244.444,0.0002014,0.0002014,0.0002014
3,280.67,145.07,4.747,-0.31115,0.0065,0.0084,0.0046,1244.444,0.0001693,0.0001693,0.0001693
4,472.8,184.51,4.788,-0.31095,0.013,0.0122,0.0138,1244.444,0.0002419,0.0002419,0.0002419
5,230.46,160.35,4.851,-0.31057,0.0336,0.0204,0.0468,1244.444,0.0001819,0.0001819,0.0001819
6,307.27,90.51,4.9,-0.30906,0.1079,0.1152,0.1006,1244.444,0.0001613,0.0001613,0.0001613
7,174.92,41.07,4.755,-0.311,0.0076,0.0122,0.003,1244.444,0.00415,0.00415,0.00415
8,270.18,47.54,4.813,-0.31335,0.0151,0.017,0.0132,1244.444,0.0003475,0.0003475,0.0003475
9,383.63,62.94,4.638,-0.3224,0.0279,0.029,0.0268,1244.444,0.0001907,0.0001907,0.0001907
10,259.99,183.88,4.804,-0.31123,0.0069,0.0082,0.0056,1244.444,0.0003117,0.0003117,0.0003117
11,280.16,74.45,4.743,-0.31179,0.0098,0.0124,0.0072,1244.444,0.0002716,0.0002716,0.0002716
12,470.1,318.82,4.626,-0.31372,0.0147,0.0202,0.0092,1244.444,0.000743,0.000743,0.000743
13,513.0,178.58,4.557,-0.31378,0.0411,0.043,0.0392,1244.444,0.0001335,0.0001335,0.0001335
14,344.49,72.08,4.509,-0.31577,0.0153,0.0238,0.0068,1244.444,0.0002762,0.0002762,0.0002762
15,330.8,212.59,4.599,-0.32045,0.0263,0.034,0.0186,1244.444,0.0006037,0.0006037,0.0006037
16,290.77,25.76,4.937,-0.30883,0.0873,0.076,0.0986,1244.444,0.000894,0.000894,0.000894
17,454.04,82.28,4.753,-0.31153,0.0089,0.0136,0.0042,1244.444,0.0004038,0.0004038,0.0004038
18,320.97,58.31,4.659,-0.28926,0.0265,0.029,0.024,1244.444,0.0002089,0.0002089,0.0002089
19,295.38,62.59,4.821,-0.31198,0.0426,0.0454,0.0398,1244.444,0.0001869,0.0001869,0.0001869
20,431.11,63.91,4.738,-0.31197,0.0297,0.0222,0.0372,1244.444,0.0001742,0.0001742,0.0001742
21,416.27,25.81,4.774,-0.31143,0.0333,0.0308,0.0358,1244.444,0.0002499,0.0002499,0.0002499
22,395.18,172.62,4.668,-0.31332,0.0095,0.0102,0.0088,1244.444,0.0002582,0.0002582,0.0002582
