Qubit,T1 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
25,75.49,4.702,0.0,0.0118,0.0156,0.008,1244.444,0.00138,0.00138,0.00138
26,202.09,4.649,-0.3113,0.019,0.0314,0.0066,1244.444,0.00096,0.00096,0.00096
27,190.38,4.604,0.0,0.0375,0.0142,0.0608,1244.444,0.0003382,0.0003382,0.0003382
28,174.83,4.517,-0.31294,0.0089,0.0134,0.0044,1244.444,0.0001741,0.0001741,0.0001741
29,496.28,4.46,0.0,0.0087,0.007,0.0104,1244.444,0.0001325,0.0001325,0.0001325
30,205.36,4.645,0.0,0.0383,0.0398,0.0368,1244.444,0.0006732,0.0006732,0.0006732
31,131.48,4.613,-0.3168,0.0198,0.023,0.0166,1244.444,0.0004311,0.0004311,0.0004311
32,244.66,4.499,-0.31188,0.0082,0.01,0.0064,1244.444,0.00143,0.00143,0.00143
33,410.91,4.597,0.0,0.0025,0.0034,0.0016,1244.444,0.0001307,0.0001307,0.0001307
34,450.74,4.562,0.0,0.0043,0.0058,0.0028,1244.444,0.0003356,0.0003356,0.0003356
35,294.66,4.722,0.0,0.0059,0.0074,0.0044,1244.444,0.0002168,0.0002168,0.0002168
36,377.04,4.608,0.0,0.0059,0.0064,0.0054,1244.444,0.0002094,0.0002094,0.0002094
37,401.94,4.498,-0.31322,0.0093,0.0094,0.0092,1244.444,0.0006106,0.0006106,0.0006106
38,325.2,4.458,0.0,0.0077,0.0078,0.0076,1244.444,0.0006503,0.0006503,0.0006503
39,176.43,4.504,-0.31442,0.0046,0.006,0.0032,1244.444,0.0003799,0.0003799,0.0003799
40,208.38,4.464,-0.31843,0.0069,0.0104,0.0034,1244.444,0.0003205,0.0003205,0.0003205
41,286.95,4.576,-0.31168,0.0022,0.0038,0.0006,1244.444,0.0001125,0.0001125,0.0001125
42,246.24,4.641,0.0,0.0017,0.003,0.0004,1244.444,0.0001458,0.0001458,0.0001458
43,396.29,4.523,-0.32382,0.0034,0.0046,0.0022,1244.444,0.0001342,0.0001342,0.0001342
44,433.44,4.595,-0.31574,0.0303,0.0304,0.0302,1244.444,0.0004251,0.0004251,0.0004251
45,284.66,4.63,-0.35528,0.0028,0.004,0.0016,1244.444,0.0001949,0.0001949,0.0001949
46,195.66,4.71,0.0,0.0043,0.0066,0.002,1244.444,0.0003362,0.0003362,0.0003362
47,348.44,4.676,0.0,0.048,0.0388,0.0572,1244.444,0.0003477,0.0003477,0.0003477
48,141.94,4.625,0.0,0.0025,0.0048,0.0002,1244.444,0.000314,0.000314,0.000314
49,212.67,4.582,-0.32008,0.0174,0.0182,0.0166,1244.444,0.0001985,0.0001985,0.0001985
50,336.16,4.457,0.0,0.0068,0.012,0.0016,1244.444,0.0063,0.0063,0.0063
51,414.87,4.565,-0.29895,0.0176,0.0188,0.0164,1244.444,0.0002006,0.0002006,0.0002006
52,255.72,4.444,0.0,0.0439,0.0304,0.0574,1244.444,0.0003701,0.0003701,0.0003701
53,364.0,4.622,0.0,0.0053,0.0074,0.0032,1244.444,0.0001508,0.0001508,0.0001508
54,213.44,4.501,0.0,0.0038,0.006,0.0016,1244.444,0.0003686,0.0003686,0.0003686
55,288.97,4.686,0.0,0.109,0.188,0.03,1244.444,0.00358,0.00358,0.00358
56,217.68,4.554,-0.31304,0.0077,0.0104,0.005,1244.444,0.0009,0.0009,0.0009
57,263.58,4.64,0.0,0.0085,0.0142,0.0028,1244.444,0.00118,0.00118,0.00118
58,271.14,4.609,-0.31283,0.0065,0.0106,0.0024,1244.444,0.0004981,0.0004981,0.0004981
59,272.12,4.77,0.0,0.0013,0.0022,0.0004,1244.444,0.0001679,0.0001679,0.0001679
60,174.46,4.518,-0.3137,0.1767,0.179,0.1744,1244.444,0.0004479,0.0004479,0.0004479
61,209.91,4.701,0.0,0.2243,0.1822,0.2664,1244.444,0.0004476,0.0004476,0.0004476
62,265.93,4.667,-0.29109,0.0115,0.0172,0.0058,1244.444,0.0003724,0.0003724,0.0003724
63,215.3,4.507,0.0,0.0042,0.0074,0.001,1244.444,0.000308,0.000308,0.000308
64,315.13,4.463,-0.313,0.007,0.0048,0.0092,1244.444,0.0002167,0.0002167,0.0002167
65,222.34,4.615,0.0,0.0028,0.0054,0.0002,1244.444,0.0005044,0.0005044,0.0005044
66,71.17,4.651,0.0,0.0288,0.0208,0.0368,1244.444,0.00413,0.00413,0.00413
67,253.28,4.714,0.0,0.0041,0.006,0.0022,1244.444,0.0002162,0.0002162,0.0002162
68,300.66,4.613,-0.31209,0.022,0.005,0.039,1244.444,0.0001189,0.0001189,0.0001189
69,310.32,4.551,0.0,0.0038,0.0048,0.0028,1244.444,0.0001437,0.0001437,0.0001437
70,374.22,4.712,-0.31002,0.0018,0.0032,0.0004,1244.444,0.0001543,0.0001543,0.0001543
71,357.12,4.543,0.0,0.0107,0.0104,0.011,1244.444,0.0003815,0.0003815,0.0003815
72,62.81,4.577,0.0,0.0043,0.0064,0.0022,1244.444,0.0001843,0.0001843,0.0001843
73,282.87,4.822,0.0,0.004,0.0056,0.0024,1244.444,0.000177,0.000177,0.000177
74,342.7,4.61,0.0,0.0144,0.0208,0.008,1244.444,0.0002076,0.0002076,0.0002076
75,224.84,4.787,-0.3086,0.0031,0.0044,0.0018,1244.444,0.0001794,0.0001794,0.0001794
76,127.0,4.683,0.0,0.0056,0.0102,0.001,1244.444,0.00121,0.00121,0.00121
77,471.33,4.577,-0.31325,0.0031,0.0054,0.0008,1244.444,0.0003335,0.0003335,0.0003335
78,522.08,4.483,0.0,0.0035,0.0048,0.0022,1244.444,8.577e-05,8.577e-05,8.577e-05
79,224.45,4.565,-0.28001,0.0144,0.016,0.0128,1244.444,0.0004798,0.0004798,0.0004798
80,253.42,4.6,0.0,0.0163,0.0182,0.0144,1244.444,0.0003537,0.0003537,0.0003537
81,346.76,4.499,-0.31479,0.0067,0.0116,0.0018,1244.444,0.0002136,0.0002136,0.0002136
82,286.43,4.602,-0.3276,0.0056,0.006,0.0052,1244.444,0.0002579,0.0002579,0.0002579
83,363.14,4.636,-0.31169,0.0158,0.0164,0.0152,1244.444,0.0004617,0.0004617,0.0004617
84,237.92,4.723,0.0,0.0173,0.0112,0.0234,1244.444,0.0002903,0.0002903,0.0002903
85,351.38,4.587,-0.31183,0.0141,0.0118,0.0164,1244.444,0.0001243,0.0001243,0.0001243
86,247.09,4.757,0.0,0.0182,0.0202,0.0162,1244.444,0.0004262,0.0004262,0.0004262
87,221.41,4.725,-0.30958,0.0044,0.0082,0.0006,1244.444,0.00046,0.00046,0.00046
88,172.07,4.566,-0.36821,0.0263,0.0498,0.0028,1244.444,0.0001811,0.0001811,0.0001811
89,263.24,4.797,-0.30874,0.0037,0.0042,0.0032,1244.444,0.0001012,0.0001012,0.0001012
90,281.24,4.704,0.0,0.002,0.0032,0.0008,1244.444,0.0001235,0.0001235,0.0001235
91,358.1,4.709,0.0,0.0036,0.0058,0.0014,1244.444,0.0001754,0.0001754,0.0001754
92,250.05,4.73,0.0,0.0037,0.0068,0.0006,1244.444,0.0002595,0.0002595,0.0002595
93,174.37,4.678,0.0,0.0103,0.0156,0.005,1244.444,0.0004161,0.0004161,0.0004161
94,83.72,4.876,-0.30795,0.0048,0.0044,0.0052,1244.444,0.0001643,0.0001643,0.0001643
95,191.5,4.597,-0.31185,0.0092,0.014,0.0044,1244.444,0.000261,0.000261,0.000261
96,320.14,4.733,-0.30895,0.0022,0.0024,0.002,1244.444,0.0001095,0.0001095,0.0001095
97,185.68,4.807,0.0,0.002,0.0034,0.0006,1244.444,0.000143,0.000143,0.000143
98,267.34,4.609,-0.31259,0.0053,0.0082,0.0024,1244.444,0.0005905,0.0005905,0.0005905
99,304.42,4.574,0.0,0.0065,0.0098,0.0032,1244.444,0.0002684,0.0002684,0.0002684
100,345.55,4.647,-0.3109,0.0012,0.0018,0.0006,1244.444,0.0001981,0.0001981,0.0001981
101,223.46,4.724,0.0,0.0038,0.0048,0.0028,1244.444,0.0001459,0.0001459,0.0001459
102,174.05,4.604,-0.31233,0.0053,0.009,0.0016,1244.444,0.0002417,0.0002417,0.0002417
103,165.33,4.664,0.0,0.0034,0.0052,0.0016,1244.444,0.0001759,0.0001759,0.0001759
104,212.76,4.802,-0.30894,0.0186,0.0184,0.0188,1244.444,0.0003959,0.0003959,0.0003959
105,294.92,4.749,0.0,0.0363,0.0408,0.0318,1244.444,0.0007999,0.0007999,0.0007999
106,246.05,4.719,-0.29787,0.0811,0.0352,0.127,1244.444,0.000639,0.000639,0.000639
107,321.1,4.615,0.0,0.004,0.0038,0.0042,1244.444,0.0001461,0.0001461,0.0001461
108,213.11,4.546,-0.31218,0.0028,0.0044,0.0012,1244.444,0.0001553,0.0001553,0.0001553
109,165.61,4.875,0.0,0.0217,0.0228,0.0206,1244.444,0.0008012,0.0008012,0.0008012
110,290.82,4.806,0.0,0.0073,0.0086,0.006,1244.444,0.0001953,0.0001953,0.0001953
111,172.7,4.769,0.0,0.0042,0.007,0.0014,1244.444,0.0002731,0.0002731,0.0002731
112,268.32,4.584,0.0,0.0027,0.0044,0.001,1244.444,0.0002112,0.0002112,0.0002112
113,276.39,4.656,-0.31079,0.0033,0.0048,0.0018,1244.444,0.0001733,0.0001733,0.0001733
114,273.72,4.782,0.0,0.0115,0.003,0.02,1244.444,0.0002505,0.0002505,0.0002505
115,313.61,4.709,-0.30971,0.0067,0.0122,0.0012,1244.444,0.0002059,0.0002059,0.0002059
116,144.78,4.959,0.0,0.0029,0.004,0.0018,1244.444,0.0001609,0.0001609,0.0001609
117,226.24,4.832,-0.30822,0.0136,0.0144,0.0128,1244.444,0.0001434,0.0001434,0.0001434
118,253.03,4.749,0.0,0.0018,0.0028,0.0008,1244.444,0.0001588,0.0001588,0.0001588
119,221.5,4.611,-0.31637,0.0013,0.0024,0.0002,1244.444,0.0001448,0.0001448,0.0001448
120,250.27,4.5,0.0,0.0032,0.0062,0.0002,1244.444,0.00011,0.00011,0.00011
121,362.27,4.621,-0.31075,0.0018,0.003,0.0006,1244.444,0.0001046,0.0001046,0.0001046
122,259.31,4.688,0.0,0.0019,0.0022,0.0016,1244.444,0.000142,0.000142,0.000142
123,297.03,4.731,-0.30912,0.003,0.004,0.002,1244.444,0.0001697,0.0001697,0.0001697
124,306.21,4.635,0.0,0.0016,0.0022,0.001,1244.444,0.0002217,0.0002217,0.0002217
125,247.29,4.737,-0.30847,0.0043,0.0068,0.0018,1244.444,0.0005657,0.0005657,0.0005657
126,14.46,4.703,0.0,0.0038,0.0076,0.0,1244.444,0.00102,0.00102,0.00102
