Qubit,T1 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,340.95,4.656,-0.31111,0.074,0.028,0.12,1244.444,7.305e-05,7.305e-05,7.305e-05
1,148.96,4.535,0.0,0.0012,0.0012,0.0012,1244.444,0.000119,0.000119,0.000119
2,362.15,4.68,-0.31073,0.0095,0.0154,0.0036,1244.444,0.0004005,0.0004005,0.0004005
3,429.86,4.607,0.0,0.0082,0.0088,0.0076,1244.444,0.0001025,0.0001025,0.0001025
4,456.37,4.462,-0.32295,0.0077,0.0114,0.004,1244.444,0.0003971,0.0003971,0.0003971
5,376.2,4.427,0.0,0.0064,0.006,0.0068,1244.444,0.0001531,0.0001531,0.0001531
6,430.66,4.64,-0.31059,0.0027,0.0012,0.0042,1244.444,0.0001007,0.0001007,0.0001007
7,359.62,4.476,0.0,0.0058,0.0056,0.006,1244.444,0.0001194,0.0001194,0.0001194
8,494.62,4.402,-0.31475,0.07,0.021,0.119,1244.444,0.0004724,0.0004724,0.0004724
9,317.03,4.519,0.0,0.0041,0.004,0.0042,1244.444,0.0001246,0.0001246,0.0001246
10,269.53,4.628,-0.31213,0.0023,0.0038,0.0008,1244.444,0.0001368,0.0001368,0.0001368
11,383.62,4.572,0.0,0.0153,0.016,0.0146,1244.444,0.0004586,0.0004586,0.0004586
12,194.24,4.464,-0.31549,0.0028,0.0044,0.0012,1244.444,0.0001609,0.0001609,0.0001609
13,334.03,4.573,0.0,0.0037,0.0054,0.002,1244.444,0.0001792,0.0001792,0.0001792
14,281.3,4.604,0.0,0.016,0.025,0.007,1244.444,0.0015,0.0015,0.0015
15,279.56,4.497,0.0,0.0181,0.0166,0.0196,1244.444,0.0008853,0.0008853,0.0008853
16,313.7,4.513,0.0,0.3865,0.051,0.722,1244.444,0.0001878,0.0001878,0.0001878
17,252.9,4.676,0.0,0.008,0.012,0.004,1244.444,0.0005796,0.0005796,0.0005796
