Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,539.75,144.24,4.636,-0.31328,0.0055,0.0066,0.0044,1244.444,0.0004553,0.0004553,0.0004553
1,347.22,217.44,4.736,-0.31292,0.026,0.0264,0.0256,1244.444,0.0002263,0.0002263,0.0002263
2,273.99,82.81,4.819,-0.3113,0.0407,0.035,0.0464,1244.444,0.0006505,0.0006505,0.0006505
3,382.36,217.18,4.747,-0.31115,0.0113,0.0144,0.0082,1244.444,0.0002234,0.0002234,0.0002234
4,368.48,275.68,4.788,-0.31095,0.0156,0.0124,0.0188,1244.444,0.0001945,0.0001945,0.0001945
5,197.02,190.75,4.851,-0.31057,0.0362,0.0336,0.0388,1244.444,0.0001866,0.0001866,0.0001866
6,224.82,98.65,4.9,-0.30906,0.0989,0.1004,0.0974,1244.444,0.0001644,0.0001644,0.0001644
7,327.3,62.5,4.756,-0.311,0.0074,0.0094,0.0054,1244.444,0.00092,0.00092,0.00092
8,23.07,27.89,4.813,-0.31335,0.018,0.0236,0.0124,1244.444,0.0005543,0.0005543,0.0005543
9,160.32,70.81,4.638,-0.3224,0.0335,0.0414,0.0256,1244.444,0.0002245,0.0002245,0.0002245
10,80.46,74.33,4.804,-0.31123,0.0189,0.0326,0.0052,1244.444,0.00387,0.00387,0.00387
11,444.16,84.69,4.743,-0.31179,0.0092,0.0114,0.007,1244.444,0.0001488,0.0001488,0.0001488
12,316.04,260.07,4.626,-0.31372,0.0213,0.0256,0.017,1244.444,0.000188,0.000188,0.000188
13,315.66,204.56,4.557,-0.31378,0.0458,0.045,0.0466,1244.444,0.0003158,0.0003158,0.0003158
14,409.25,45.82,4.509,-0.31577,0.0186,0.0316,0.0056,1244.444,0.0003864,0.0003864,0.0003864
15,373.74,96.12,4.599,-0.32045,0.0303,0.0354,0.0252,1244.444,0.00251,0.00251,0.00251
16,290.97,27.9,4.937,-0.30883,0.0811,0.054,0.1082,1244.444,0.0007348,0.0007348,0.0007348
17,323.85,71.77,4.753,-0.31153,0.0112,0.0168,0.0056,1244.444,0.000536,0.000536,0.000536
18,466.89,60.05,4.659,-0.28926,0.0436,0.0352,0.052,1244.444,0.0001943,0.0001943,0.0001943
19,300.74,49.03,4.821,-0.31198,0.0394,0.0302,0.0486,1244.444,0.0001574,0.0001574,0.0001574
20,419.25,46.22,4.738,-0.31197,0.0332,0.0342,0.0322,1244.444,0.0002612,0.0002612,0.0002612
21,421.16,27.15,4.774,-0.31143,0.0398,0.047,0.0326,1244.444,0.000236,0.000236,0.000236
22,290.62,209.14,4.668,-0.31332,0.0082,0.0096,0.0068,1244.444,0.0001852,0.0001852,0.0001852
23,330.91,65.25,4.758,-0.31174,0.0205,0.0234,0.0176,1244.444,0.0001459,0.0001459,0.0001459
24,301.44,18.81,4.611,-0.31355,0.0257,0.021,0.0304,1244.444,0.0002321,0.0002321,0.0002321
25,293.45,277.45,4.732,-0.31226,0.0296,0.0294,0.0298,1244.444,0.0002196,0.0002196,0.0002196
26,305.19,119.97,4.777,-0.31228,0.0044,0.0048,0.004,1244.444,0.0001763,0.0001763,0.0001763
27,408.03,150.4,4.68,-0.31283,0.0064,0.0078,0.005,1244.444,0.000122,0.000122,0.000122
28,240.68,65.05,4.744,-0.27186,0.0316,0.035,0.0282,1244.444,0.000323,0.000323,0.000323
29,313.57,140.33,4.792,-0.32426,0.0111,0.0154,0.0068,1244.444,0.0001981,0.0001981,0.0001981
30,406.05,282.03,4.693,-0.31268,0.0066,0.0098,0.0034,1244.444,0.0001352,0.0001352,0.0001352
31,297.73,29.6,5.058,-0.30701,0.0144,0.0162,0.0126,1244.444,0.0005543,0.0005543,0.0005543
32,293.66,271.37,4.93,-0.30828,0.0291,0.0328,0.0254,1244.444,0.0001744,0.0001744,0.0001744
33,465.2,335.56,4.677,-0.31373,0.0055,0.007,0.004,1244.444,0.0002368,0.0002368,0.0002368
34,212.81,91.82,4.71,-0.2877,0.0494,0.0392,0.0596,1244.444,0.0004693,0.0004693,0.0004693
35,353.16,67.07,4.915,-0.3092,0.0095,0.0082,0.0108,1244.444,0.0001616,0.0001616,0.0001616
36,331.34,53.22,4.854,-0.31028,0.0091,0.0082,0.01,1244.444,0.0001332,0.0001332,0.0001332
37,422.62,266.07,4.594,-0.31539,0.0182,0.0238,0.0126,1244.444,0.0003258,0.0003258,0.0003258
38,308.28,118.83,4.486,-0.31594,0.021,0.0208,0.0212,1244.444,0.0003253,0.0003253,0.0003253
39,441.49,132.61,4.574,-0.31403,0.0097,0.006,0.0134,1244.444,0.0002303,0.0002303,0.0002303
40,117.27,73.36,4.706,-0.31264,0.0073,0.0114,0.0032,1244.444,0.0008448,0.0008448,0.0008448
41,228.58,324.21,4.815,-0.31264,0.0096,0.0052,0.014,1244.444,0.0001416,0.0001416,0.0001416
42,185.33,186.6,4.655,-0.31429,0.0344,0.0272,0.0416,1244.444,0.000218,0.000218,0.000218
43,423.15,158.72,4.755,-0.31328,0.0185,0.0164,0.0206,1244.444,0.0002148,0.0002148,0.0002148
44,277.45,283.46,4.868,-0.3105,0.0046,0.0044,0.0048,1244.444,0.0001328,0.0001328,0.0001328
45,449.36,333.24,4.763,-0.31105,0.0148,0.0124,0.0172,1244.444,0.000156,0.000156,0.000156
46,428.34,458.81,4.674,-0.31335,0.0168,0.0114,0.0222,1244.444,0.0001147,0.0001147,0.0001147
47,480.25,94.13,4.795,-0.31225,0.0119,0.0132,0.0106,1244.444,0.000133,0.000133,0.000133
48,384.95,184.2,4.707,-0.31165,0.0121,0.0156,0.0086,1244.444,0.0001132,0.0001132,0.0001132
49,169.99,110.19,4.811,-0.31113,0.0076,0.0104,0.0048,1244.444,0.0001748,0.0001748,0.0001748
50,270.62,170.58,4.879,-0.30969,0.0091,0.0104,0.0078,1244.444,0.000171,0.000171,0.000171
51,352.09,322.92,4.767,-0.31094,0.0101,0.0128,0.0074,1244.444,9.692e-05,9.692e-05,9.692e-05
52,311.96,84.68,4.855,-0.3096,0.0117,0.0116,0.0118,1244.444,0.0001922,0.0001922,0.0001922
53,351.04,258.04,4.768,-0.31056,0.0349,0.0508,0.019,1244.444,0.0001605,0.0001605,0.0001605
54,318.34,63.11,4.822,-0.31041,0.0045,0.006,0.003,1244.444,0.0002356,0.0002356,0.0002356
55,352.34,267.77,4.907,-0.30999,0.0059,0.0064,0.0054,1244.444,0.0005182,0.0005182,0.0005182
56,505.97,17.9,4.455,-0.31804,0.0161,0.0128,0.0194,1244.444,0.0003802,0.0003802,0.0003802
57,371.51,53.39,4.835,-0.31002,0.0216,0.0186,0.0246,1244.444,0.000476,0.000476,0.000476
58,331.07,233.08,4.709,-0.31367,0.0212,0.0092,0.0332,1244.444,0.0001663,0.0001663,0.0001663
